subject,cv_mean_acc,cv_std_acc,cv_mean_loss,cv_std_loss,holdout_test_loss,holdout_test_acc,class_left_hand,class_right_hand,class_feet,class_tongue
A01,0.5998941318814277,0.03340140082568712,0.8876173049211502,0.037841238953892825,1.0060698986053467,0.6379310344827587,0.5333333333333333,0.7857142857142857,0.4,0.8571428571428571
A02,0.3259225650332729,0.03147067719393799,1.3840553760528564,0.005116931958007849,1.374747395515442,0.41379310344827586,0.26666666666666666,0.5,0.4,0.5
A03,0.7044767090139141,0.06394830693163517,0.9529180079698563,0.07348322732604191,0.8471006155014038,0.7413793103448276,0.8666666666666667,0.9285714285714286,0.2,1.0
A04,0.37409255898366606,0.041248035590210244,1.3329226970672607,0.020201379386586858,1.2346696853637695,0.5,0.8,0.35714285714285715,0.26666666666666666,0.5714285714285714
A05,0.3824107683000605,0.02984944199751584,1.3661757111549377,0.01581227255601454,1.32275390625,0.41379310344827586,0.2,0.5,0.4,0.5714285714285714
A06,0.34339080459770116,0.02427899379126386,1.38278529047966,0.003642125714224669,1.369881510734558,0.3793103448275862,0.4,0.21428571428571427,0.4,0.5
A07,0.46506352087114333,0.022365654791939468,1.2701321840286255,0.09153717326359949,1.1437020301818848,0.4482758620689655,0.26666666666666666,0.6428571428571429,0.2,0.7142857142857143
A08,0.6909407138535996,0.06469204327527295,0.9427541196346283,0.033799028267096326,0.8705675601959229,0.7758620689655172,0.8,1.0,0.4666666666666667,0.8571428571428571
A09,0.6821687840290381,0.05667507160286217,0.9468772113323212,0.05655545288904274,0.8787757754325867,0.6896551724137931,1.0,0.42857142857142855,0.4666666666666667,0.8571428571428571
